"COL0","COL1","COL2","COL3"
"2466",1942044.00,27860.00,62917.00
"24660001",657.00,36544.00,77568.00
"24660002",534.00,39552.00,85760.00
"24660003",303.00,35456.00,66304.00
"24660004",283.00,0.00,83712.00
"24660005",235.00,,
"24660006",411.00,35072.00,67328.00
"24660007",677.00,31552.00,67456.00
"24660008",534.00,30528.00,76493.00
"24660009",245.00,,
"24660010",659.00,35584.00,71680.00
"24660011",644.00,27200.00,60800.00
"24660012",821.00,36224.00,62848.00
"24660013",481.00,31168.00,68992.00
"24660014",531.00,38016.00,78080.00
"24660015",432.00,28160.00,38016.00
"24660016",692.00,43136.00,83328.00
"24660017",505.00,25856.00,55104.00
"24660020",431.00,40448.00,79488.00
"24660021",565.00,30400.00,42432.00
"24660022",329.00,0.00,70912.00
"24660023",531.00,24512.00,56960.00
"24660024",616.00,32448.00,67200.00
"24660025",527.00,29504.00,59456.00
"24660026",715.00,,
"24660027",568.00,30912.00,67200.00
"24660028",338.00,0.00,81408.00
"24660029",387.00,0.00,81664.00
"24660030",1090.00,33408.00,67840.00
"24660031",508.00,34048.00,77483.00
"24660032",472.00,35392.00,77056.00
"24660033",904.00,37632.00,77653.00
"24660034",353.00,0.00,90880.00
"24660035",457.00,0.00,100096.00
"24660036",784.00,27456.00,54272.00
"24660037",655.00,29376.00,59136.00
"24660038",569.00,25280.00,55552.00
"24660039",486.00,26176.00,50304.00
"24660040",474.00,35392.00,76800.00
"24660041",561.00,27584.00,43840.00
"24660042",589.00,23616.00,51627.00
"24660043",429.00,23488.00,45184.00
"24660044",475.00,,
"24660045",487.00,32384.00,77141.00
"24660046",499.00,26944.00,62208.00
"24660047",364.00,25280.00,60544.00
"24660048",526.00,26432.00,58496.00
"24660049",484.00,19072.00,58496.00
"24660050",539.00,30784.00,48640.00
"24660051",372.00,28480.00,66304.00
"24660052",570.00,24736.00,59520.00
"24660053",407.00,30784.00,51456.00
"24660054",477.00,29632.00,63552.00
"24660055",596.00,24896.00,56896.00
"24660056",508.00,24512.00,65365.00
"24660057",872.00,26432.00,57600.00
"24660058",367.00,20704.00,51328.00
"24660059",509.00,18560.00,53376.00
"24660060",411.00,23936.00,56320.00
"24660061",586.00,27040.00,55296.00
"24660062",423.00,25408.00,54720.00
"24660063",606.00,29163.00,56576.00
"24660064",606.00,30240.00,56128.00
"24660065",559.00,24981.00,58240.00
"24660066",501.00,28608.00,64128.00
"24660067",573.00,32544.00,65408.00
"24660068",480.00,28992.00,62848.00
"24660069",585.00,23488.00,50496.00
"24660070",488.00,26944.00,58560.00
"24660071",528.00,29984.00,69888.00
"24660072",551.00,30784.00,64896.00
"24660073",484.00,25408.00,59072.00
"24660074",445.00,28000.00,56128.00
"24660075",431.00,29440.00,65536.00
"24660076",505.00,30592.00,65472.00
"24660077",454.00,33280.00,75136.00
"24660078",498.00,31872.00,73984.00
"24660079",482.00,28800.00,64896.00
"24660080",625.00,25472.00,62048.00
"24660081",647.00,30784.00,57984.00
"24660082",637.00,22656.00,62464.00
"24660083",462.00,29888.00,63616.00
"24660084",442.00,32064.00,58752.00
"24660085",588.00,27264.00,59648.00
"24660086",420.00,25024.00,50944.00
"24660087",767.00,21952.00,44224.00
"24660088",452.00,36864.00,55232.00
"24660089",385.00,35968.00,73536.00
"24660090",1036.00,25728.00,49237.00
"24660091",571.00,26048.00,59264.00
"24660092",338.00,24000.00,41344.00
"24660093",614.00,34688.00,75520.00
"24660094",566.00,31712.00,72960.00
"24660095",517.00,30144.00,67072.00
"24660096",516.00,34816.00,77056.00
"24660097",518.00,33536.00,65920.00
"24660098",498.00,29376.00,67968.00
"24660099",784.00,19136.00,49664.00
"24660100",451.00,25728.00,44416.00
"24660101",501.00,39936.00,74880.00
"24660102",508.00,40000.00,77312.00
"24660103",374.00,36928.00,56320.00
"24660104",551.00,34432.00,56896.00
"24660107",475.00,25440.00,52736.00
"24660108",738.00,25248.00,48512.00
"24660109",559.00,27584.00,48896.00
"24660110",678.00,23424.00,51104.00
"24660111",374.00,27712.00,50944.00
"24660112",459.00,31360.00,65536.00
"24660114",631.00,29824.00,50368.00
"24660115",426.00,28512.00,60544.00
"24660117",527.00,28352.00,51712.00
"24660118",575.00,30016.00,67738.00
"24660119",374.00,35840.00,104192.00
